BG Word;RU Word;BG Count;RU Count
авансов;авансовый;886;900000
авансцена;авансцена;685;63300
авансцена;просцениум;685;16900
авантюра;авантюра;189000;1170000
авантюризъм;авантюризм;1390;219000
авантюрист;авантюрист;12400;614000
авантюристичен;авантюристический;1660;905
авантюристичен;авантюрный;1660;238000
авантюристки;авантюристский;178;782
авариен;аварийный;24300;2400000
аварийност;аварийность;507;530000
авария;авария;87700;2630000
август;Август;2420000;22700000
август;август;2420000;22700000
Августовски;августовский;624;1050000
авиатор;авиатор;10200;418000
авиаторски;летный;214;745000
авиационен;авиационный;26700;2200000
авиация;авиация;503000;2240000
авиобаза;авиабаза;56600;899000
авиобомба;авиабомба;397;174000
авиоконструктор;авиаконструктор;720;676000
авиомодел;авиамодель;241;186000
авиомоделен;авиамодельный;80;161000
авиомоделизъм;авиамоделизм;4350;72400
авиотранспорт;авиатранспорт;415;324000
авитаминоза;авитаминоз;824;263000
авлига;иволга;1650;235000
австралиец;австралиец;13300;327000
австралийски;австралийский;44500;2250000
Австралия;Австралия;879000;3070000
австриец;австриец;9230;240000
австрийски;австрийский;95500;1960000
Австрия;Австрия;1210000;2880000
автентичен;аутентичный;76100;203000
автентичност;аутентичность;29900;227000
автентичност;подлинность;29900;2200000
автобиографичен;автобиографический;667;187000
автобиографически;автобиографический;50;187000
автобиографичност;автобиографичность;144;11300
автобиография;автобиография;185000;1380000
автоблокировка;автоблокировка;84;58300
автобус;автобус;407000;2750000
автобусен;автобусный;42400;1150000
автограф;автограф;54600;2230000
автозавод;автозавод;288;1110000
автоклав;автоклав;3500;239000
автоколона;автоколонна;1390;268000
автократически;автократический;313;19100
автокрация;автократия;326;76400
автомат;автомат;66200;2740000
автоматизация;автоматизация;126000;2630000
автоматизирам;автоматизировать;344;1110000
автоматизиран;автоматизированный;16900;2100000
автоматизиране;автоматизация;23100;2630000
автоматизъм;автоматизм;1230;340000
автоматичен;автоматическими;287000;362000
автоматичен товарач;автопогрузчик;255;541000
автоматически;автоматически;21700;3270000
автоматически;автоматическими;21700;362000
автоматична писалка;авторучка;755;476000
автоматчик;автоматчик;1870;182000
автомобил;автомашина;847000;2160000
автомобил;автомобиль;847000;8460000
автомобилен;автомобильный;210000;2240000
автомобилизъм;автомобилизм;27100;44700
автомобилист;автомобилист;1680;764000
автономен;автономный;18700;2680000
автономен;самоуправляющийся;18700;563
автономия;автономия;58000;2360000
автопарк;автопарк;18600;845000
автопилот;автопилот;20200;830000
автопортрет;автопортрет;34900;1510000
автопробег;автопробег;157;1190000
автор;автор;2150000;7260000
авторемонтен;авторемонтный;213;109000
автореферат;автореферат;625;2320000
авторизирам;авторизовать;67;33100
авторизиран;авторизованный;350;1880000
авторитарен;авторитарный;9420;650000
авторитет;авторитет;236000;2270000
авторитет;весить;236000;317000
авторитетен;авторитетный;39800;1560000
авторитетно;авторитетно;29400;379000
авторски;авторский;1410000;2180000
Авторство;авторство;24400;2300000
автострада;автомагистраль;263;923000
автострада;автострада;263;933000
автотранспорт;автотранспорт;27500;2150000
автоцистерна;бензовоз;644;352000
ага;ага;16900;2550000
агава;агава;183;300000
агент;агент;323000;2660000
агентура;агентура;9260;611000
агенция;агенство;2250000;2020000
агенция;агентство;2250000;8090000
агитатор;агитатор;1820;385000
агитационен;агитационный;2080;191000
агитация;агитация;68200;2060000
агитирам;агитировать;639;341000
агитка;агитка;27700;144000
агитпроп;агитпроп;544;147000
агитпункт;агитпункт;65;814
агломерат;агломерат;208;166000
аглутинация;агглютинация;365;67000
агне;агнец;34400;324000
агне;барашек;34400;340000
агнец;агнец;677;324000
агнешки;барашковый;13500;1880
агнешки;смушковый;13500;407
агнешко;баранина;47900;841000
агностик;агностик;2960;177000
агностицизъм;агностицизм;553;124000
агонизирам;агонизировать;540;854
аграрен;аграрный;46700;2160000
агрегат;агрегат;43800;3400000
агресивен;агрессивный;52300;1900000
агресивен;захватнический;52300;10200
агресивен;наступательный;52300;221000
агресивно;агрессивно;55300;1060000
агресивност;агрессивность;30200;1280000
агресия;агрессия;107000;2920000
агресия;вторжение;107000;2660000
агресор;агрессор;10600;545000
агресор;захватчик;10600;157000
агрикултура;агрикультура;670;15900
агробиология;агробиология;59;2520
агроном;агроном;13700;492000
агрономически;агрономический;628;88400
агрономия;агрономия;3030;236000
агроном-полевъд;полевод;89;840
агротехник;агротехник;75;857
агротехника;агротехника;922;234000
агротехнически;агротехнический;725;47800
агрохимия;агрохимия;602;440000
ад;ад;2860000;2360000
ад;пекло;2860000;874000
ад;преисподняя;2860000;649000
адажио;адажио;1120;111000
адаптация;адаптация;208000;2220000
адаптирам;адаптировать;2860;904000
адаш;тезка;11900;757000
адвокат;адвокат;335000;2730000
адвокатски;адвокатский;145000;280000
адвокатство;адвокатура;114;1060000
адекватен;адекватный;85800;2190000
адепт;адепт;655;664000
административен;административный;617000;2400000
администратор;администратор;876000;3190000
администрация;администрация;2100000;6500000
администрирам;администрировать;1130;250000
адмирал;адмирал;67100;2550000
адмиралски;адмиральский;311;67600
адмиралтейски;адмиралтейский;198;546000
адмиралтейство;адмиралтейство;341;303000
адрес;адрес;3200000;11600000
адресант;адресат;645;2220000
адресант;получатель;645;3230000
адресен;адресный;1040;766000
адресирам;адресовать;1110;296000
адресирам;направить;1110;2170000
адски;адский;275000;537000
адсорбирам;адсорбировать;66;16300
адсорбция;адсорбция;712;214000
адютант;адъютант;518;598000
аерация;аэрация;1490;305000
аерогара;аэровокзал;44700;268000
аерогара;аэропорт;44700;2710000
аеродинамика;аэродинамика;9650;768000
аеродинамичен;обтекаемый;588;132000
аеродинамичност;обтекаемость;170;41800
аеродрум;аэродром;441;2300000
аероклуб;аэроклуб;733;367000
аерология;аэрология;109;16700
аеромеханика;аэромеханика;63;44800
аеронавтика;аэронавтика;9610;25100
аероплан;аэроплан;1180;341000
аеропорт;аэропорт;2870;2710000
аеростат;аэростат;190;361000
аеростатика;аэростатика;52;13600
ажиотаж;ажиотаж;453;1580000
ажур;ажур;694;181000
ажурен;ажурный;271;153000
аз;аз;3180000;2230000
азалия;азалия;11100;219000
азбест;асбест;15900;1150000
азбестов;асбестовый;241;45700
азбука;азбука;313000;2920000
азбука;алфавит;313000;2980000
азбучен;азбучный;787000;985
азиатски;азиатский;53100;2150000
азимут;азимут;508;785000
Азия;Азия;731000;3100000
азот;азот;39000;2060000
азотен;азотный;15600;129000
Азърбайджан;Азербайджан;47100;2470000
азърбайджански;азербайджанский;138;2370000
ай;ай;484000;3450000
айгър;жеребец;479;648000
айсберг;айсберг;27200;1140000
академизъм;академизм;934;110000
академик;академик;636000;2430000
академичен;академичный;133000;11000
академически;академический;655;2670000
академия;академия;934000;2960000
акация;акация;24100;482000
акварел;акварель;36300;1940000
акварелен;акварельный;464;42000
акварелист;акварелист;125;33900
аквариум;аквариум;108000;2940000
акин;акын;1510;105000
аклиматизация;акклиматизация;537;300000
аклиматизирам;акклиматизировать;451;924
ако;ежели;4150000;1880000
ако;если;4150000;16500000
ако;кабы;4150000;651000
ако;коли;4150000;2360000
ако;коль;4150000;2170000
ако;надобность;4150000;1800000
ако знаех това;бы;284000;12600000
ако ли;если;2420000;16500000
акомодация;аккомодация;629;136000
акомпанимент;аккомпанемент;600;617000
акомпанирам;аккомпанировать;202;39600
акорд;аккорд;31300;2740000
акорден;аккордный;64;4020
акордеон;аккордеон;19600;803000
акордеонист;аккордеонист;1540;228000
акордирам;настраивать;123;1610000
акордиране;настройка;572;3410000
акордьор;настройщик;562;203000
акостирам;причаливать;398;22500
акостирам;причалить;398;57900
акостиране;причала;941;1650000
акр;акр;1510;178000
Акра;Аккра;11000;80900
акредитив;аккредитив;655;517000
акробат;акробат;987;250000
акробат;канатная;987;580000
акробат;фигляр;987;29900
акробатика;акробатика;16300;543000
акробатически;акробатический;215;164000
акробатски;акробатический;90;164000
акропол;акрополь;641;459000
акростих;акростих;2880;86400
акселбанти;аксельбанты;142;52600
аксиома;аксиома;11600;1730000
акт;акт;1130000;2510000
актив;актив;149000;2230000
активен;активный;809000;3040000
активизация;активизация;1350;2420000
активизирам;активизировать;668;1800000
активизирам;нажимать;668;1130000
активизирам;подогнать;668;565000
активизиране;активизация;287000;2420000
активиран;активированный;89800;599000
активист;активист;20000;2170000
активно;активно;1100000;3010000
активно;деятельно;1100000;326000
активност;активность;906000;3010000
активност;жизнедеятельность;906000;3000000
актиния;актиния;2440;122000
актов;актовый;391;1640000
актриса;актриса;144000;2380000
актуален;актуальный;150000;1300000
актуален;животрепещущий;150000;78200
актуално;актуально;1450000;2280000
актуалност;актуальность;348000;2450000
актьор;актер;242000;2830000
актьорка;актриса;101;2380000
актьорски;актерский;28200;1060000
акула;акула;72100;2300000
акумулатор;аккумулятор;37100;3500000
акумулаторен;аккумуляторный;3780;761000
акумулация;аккумуляция;1080;487000
акумулирам;аккумулировать;207;229000
акуратен;аккуратный;1490;801000
акуратен;пунктуальный;1490;136000
акуратен;тщательный;1490;2260000
акуратен;четкий;1490;2550000
акуратно;аккуратно;12800;3060000
акуратно;пунктуально;12800;56600
акуратно;тщательно;12800;2590000
акуратно;четко;12800;2730000
акуратност;аккуратность;546;1120000
акуратност;пунктуальность;546;736000
акуратност;тщательность;546;680000
акуратност;четкость;546;2330000
акустика;акустика;32500;2520000
акустичен;акустический;9610;1180000
акушер;акушер;26300;893000
акушерка;акушерка;17500;400000
акушерски;акушерский;1110;182000
акушерство;акушерство;33700;2190000
акцент;акцент;1170000;2240000
акцентен;акцентный;53;11800
акцентирам;акцентировать;14300;438000
акциз;акциз;57700;1940000
акционер;акционер;77900;2210000
акционер;пайщик;77900;727000
акционерен;акционерный;13100;867000
акъллия;головастый;183;32100
алабастров;алебастровый;108;15000
алабастър;алебастр;854;423000
алабаш;кольраби;1530;115000
алабаш;репа;1530;1090000
алаброс;бобрик;318;79100
алах;аллах;3320;1800000
албанец;албанец;615;142000
Албания;Албания;649000;3180000
албанка;албанка;551;509
албански;албанский;78100;839000
албатрос;альбатрос;45800;421000
албинос;альбинос;873;164000
албум;альбом;1380000;3860000
албумин;альбумин;15000;219000
албумин;белковый;15000;344000
албумин;белок;15000;2300000
алвеола;альвеола;213;79900
алгебра;алгебра;37200;2180000
алдехид;альдегид;562;194000
алебарда;алебарда;835;148000
алегоричен;аллегоричный;1020;1500
алегоричен;иносказательный;1020;31100
алегоричен;фигуральный;1020;937
алегорически;аллегорический;173;113000
алегорично;иносказательно;1100;145000
алегорично;фигурально;1100;148000
алегоричност;аллегоричность;145;606
алегоричност;иносказательность;145;11500
алегоричност;фигуральность;145;642
алегория;иносказание;12500;107000
алегро;аллегро;22200;276000
Александрия;Александрия;78300;1890000
ален;алый;104000;780000
аленея;алеть;107;798
алергия;алергия;49600;91400
алея;аллея;131000;2970000
Алжир;Алжи;234000;1700
алжирец;алжирец;573;25700
алжирски;алжирский;2080;241000
алиби;алиби;23200;534000
алигатор;аллигатор;26700;352000
ализарин;ализарин;209;12300
алитерация;аллитерация;462;69700
алиянс;альянс;219;2130000
алкален;щелочной;1580;495000
алкали;щелочь;572;346000
алкалоид;алкалоид;1440;254000
алкохол;алкоголь;844000;2560000
алкохолен;алкогольный;88400;2220000
алкохолен;хмельной;88400;397000
алкохолизъм;алкоголизм;37500;2320000
алкохолик;алкоголик;36300;2060000
алманах;альманах;41600;2260000
ало;алло;144000;1530000
ало;алло;144000;1530000
алогизъм;алогизм;222;29000
алогичен;алогичный;569;45600
алогичный;алогический;45700;619
алое;алое;50800;421000
алое;алоэ;50800;602000
алое;столетник;50800;38500
алопат;аллопат;96;855
алопатия;аллопатия;168;20000
Алпи;Альпы;35700;1930000
алпийски;альпийский;96800;414000
алпинизъм;альпинизм;448000;1930000
алпинист;альпинист;22400;2190000
алпинистки;альпинистский;800;130000
алт;альт;40500;1450000
Алтай;Алтай;919;2600000
алтайски;алтайский;1140;2450000
алтерация;альтерация;144;21600
алтернатива;альтернатива;376000;2620000
алтернативен;альтернативный;181000;2480000
алтернация;альтернация;115;1540
алтов;альтовый;248;925
алтруизъм;альтруизм;608;548000
алтруист;альтруист;1210;205000
алтруистичен;альтруистичный;302;534
алувиален;аллювиальный;109;1480
алувий;аллювий;93;22100
алуминий;алюминий;114000;3110000
алфавит;алфавит;1050;2980000
алфа-лъчи;альфа-лучи;131;14600
алфа-частици;альфа-частицы;382;36100
алхимик;алхимик;898;686000
алхимия;алхимия;18000;682000
алчен;алчный;19200;112000
алчен;жадный;19200;609000
алчен;падкий;19200;27700
алчен;стяжатель;19200;17900
алчен;стяжательный;19200;549
алчно;алчно;693;57400
алчно;жадно;693;1210000
алчност;алчность;52200;612000
алчност;жадность;52200;2020000
алюр;аллюр;411;177000
Аляска;Аляска;32100;1850000
ама;но;2300000;18700000
ама;ну;2300000;3810000
Амазонка;Амазонка;21000;1440000
амазонка;амазонка;21000;1440000
амазонка;наездница;21000;137000
амалгама;амальгама;914;190000
амалгамирам;амальгамировать;75;541
Аман;Амман;132000;930000
аматьорски;любительский;58600;940000
амбалажен;оберточный;79;11100
амбалажен;паковочный;79;1500
амбалажен;упаковочный;79;840000
амбиция;амбиция;97500;73200
амбра;амбра;830;249000
амброзия;амброзия;550;108000
амбулантен;лоточный;873;1690
амбулантен;разносный;873;1080
амбулаторен;амбулаторный;774;234000
амбулатория;амбулатория;11600;275000
амеба;амеба;2430;288000
Америка;Америка;1570000;3450000
американ;бязь;67300;242000
американ;миткаль;67300;27200
американец;американец;230000;2350000
американка;американка;27000;1530000
американски;американский;1220000;3160000
ами;ведь;1660000;3710000
ами;ну;1660000;3810000
амнистирам;амнистировать;71;67100
амнистия;амнистия;59400;2200000
амонал;аммонал;107;16500
амоний;аммоний;495;524000
амоняк;аммиак;29600;850000
амонячен;аммиачный;783;71800
аморален;аморальный;1360;379000
аморалност;аморальность;658;165000
амортизатор;амортизатор;312;1430000
амортизирам;амортизировать;242;46700
аморфност;аморфность;332;53200
ампер;ампер;10800;324000
амперметър;амперметр;1360;352000
амплитуда;амплитуда;15500;1430000
амплоа;амплуа;15300;1110000
ампула;ампула;13300;1040000
ампутация;ампутация;741;323000
ампутирам;ампутировать;238;99800
ампутирам;отнимать;238;523000
ампутирам;отнять;238;1430000
Амстердам;Амстердам;332000;2820000
Амударя;Амударья;258;197000
амулет;амулет;25200;1320000
амулет;ладанка;25200;53500
Амур;Амур;33800;3060000
амфибрахий;амфибрахий;164;35000
амфитеатър;амфитеатр;25200;711000
амфора;амфора;17400;558000
анабиоза;анабиоз;441;179000
анаграма;анаграмма;810;123000
анакреонов;анакреонтический;109;697
анали;анналы;9600;401000
анализ;анализ;1940000;3040000
анализирам;анализировать;17700;2310000
аналитик;аналитик;986;2540000
аналитичен;аналитический;35500;2140000
аналогичен;аналогичный;47300;2310000
аналогия;аналогия;57800;2900000
анамнеза;анамнез;15500;691000
ананас;ананас;53600;1080000
ананасов;ананасовый;991;140000
анапест;анапест;264;38900
анархизъм;анархизм;720;279000
анархист;анархист;812;715000
анархистки;анархистский;1500;29800
анархичен;анархичный;223;1950
анархически;анархический;113;67500
анархия;анархия;29100;1850000
анархия;безвластие;29100;112000
анархия;безначалие;29100;24600
анасон;анис;12500;294000
анасонов;анисовый;147;28800
анат;небный;7610;16500
анат;эпителий;7610;392000
анатом;анатом;1020;124000
анатомически;анатомический;891;423000
анатомия;анатомия;89600;2390000
анахорет;анахорет;84;23400
анахорет;пустынник;84;145000
анахронизъм;анахронизм;13500;351000
анахроничен;анахронический;334;881
ангажимент;ангажемент;676000;66200
Ангара;Ангара;565;1770000
ангария;барщина;1730;99200
ангел;ангел;1180000;2970000
ангелски;ангельский;22600;400000
ангина;ангина;16600;720000
ангинар;артишок;536;223000
английски;англииский;2060000;3730
англикански;англиканский;607;97400
англичанин;англичанин;42500;1420000
англичанка;англичанка;10200;315000
Англия;Англия;1060000;3000000
Ангола;Ангола;99100;2450000
ангорски;ангорский;1480;33100
ангро;оптом;1340;2180000
анданте;анданте;538;38000
Анди;Анды;115000;189000
аневризъм;аневризма;247;167000
анекдот;анекдот;21800;3060000
анекдот;побасенка;21800;9350
анекдотичен;анекдотический;380;51200
анекдотичен;анекдотичный;380;19600
анексирам;аннексировать;111;26600
анексия;аннексия;374;179000
анемичен;анемический;1220;962
анемичен;анемичный;1220;863
анемичен;бескровный;1220;110000
анемичен;малокровный;1220;647
анемия;анемия;63800;873000
анемия;малокровие;63800;161000
анемона;анемон;257;85800
анестезирам;анестезировать;67;1410
анестезирам;обезболивать;67;976
анестезирам;обезболить;67;17900
анестезия;анестезия;19100;847000
анестезия;обезболивание;19100;434000
анилин;анилин;850;76500
анилинов;анилиновый;84;798
анималист;анималист;208;55900
анимизъм;анимизм;564;72600
анис;анис;764;294000
анисовка;анисовка;14600;17700
Анкара;Анкара;90400;1500000
анкета;анкета;2660000;3010000
анкета;обследование;2660000;2200000
анкетен;анкетный;887;99300
анкетен;опросный;887;301000
анкетен лист;анкета;670;3010000
анкетирам;обследовать;343;571000
анкетьор;обследователь;395;1780
анкър;анкер;77;365000
анод;анод;1140;396000
аноден;анодный;811;94000
аномален;аномальный;148;311000
аномалия;аномалия;21500;1810000
аноним;аноним;558;2330000
анонимен;анонимный;853000;3690000
анонс;анонс;41800;3340000
анонсирам;анонсировать;504;326000
анормален;анормальный;557;661
анормалност;анормальность;201;1600
анотация;аннотация;257000;2550000
ансамбъл;ансамбль;139000;2500000
антагонизъм;антагонизм;796;354000
антагонистичен;антагонистический;215;36300
антагонистичен;антагонистичный;215;1240
Антарктида;Антарктида;171000;2980000
Антарктика;Антарктика;25200;2280000
антарктически;антарктический;10700;199000
антена;антенна;99700;2430000
антерия;кацавейка;406;2290
антерия;телогрейка;406;110000
антибиотици;антибиотики;68100;2190000
антивоенен;антивоенный;875;116000
антидемократичен;антидемократический;307;32900
антиимпериалистически;антиимпериалистический;229;45600
антиквар;антиквар;1990;502000
антикварен;антикварный;34400;649000
антикварен;букинистический;34400;177000
антикомунистически;антикоммунистический;1930;59100
антилопа;антилопа;589;457000
антимон;сурьма;1330;381000
антипартиен;антипартийный;165;529
антипатичен;антипатичны;4640;632
антипатия;антипатия;624;402000
антипод;антипод;979;346000
антисемит;антисемит;1950;472000
антисемитизъм;антисемитизм;30800;1030000
антисемитски;антисемитский;2230;121000
антисептика;антисептика;295;488000
антитеза;антитеза;814;215000
антитеза;антитезис;814;78500
антитоксин;антитоксин;231;9140
антифашист;антифашист;1820;108000
антифашистки;антифашистский;9640;260000
антициклон;антициклон;660;160000
античен;античный;28600;1230000
античност;античность;33200;1280000
антология;антология;101000;1980000
антоним;антоним;959;69000
антоновка;антоновка;77;123000
антракт;антракт;2110;239000
антрацит;антрацит;2050;566000
антре;передняя;149000;2570000
антре;прихожая;149000;2010000
антрополог;антрополог;9480;548000
антропологичен;антропологический;1300;355000
антропологически;антропологический;543;355000
антропология;антропология;70000;2220000
антропометрия;антропометрия;224;37700
анулирам;аннулировать;1180;800000
анулирам;отменить;1180;2620000
анулирам;отменять;1180;753000
анфас;анфас;994;205000
анфилада;анфилада;65;149000
анхидрит;ангидрид;126;244000
анчар;анчар;727;58500
аорта;аорта;2130;345000
апандисит;аппендицит;1750;340000
апарат;аппарат;492000;3310000
апарат;прибор;492000;2860000
апарат;сушилка;492000;1070000
апаратен;аппаратный;819;1890000
апартамент;квартира;1060000;3020000
апатичен;апатический;12500;1640
апатичен;апатичный;12500;20300
апатично;апатично;2090;32800
апатичност;апатичность;343;18500
апатия;апатия;29900;914000
апатия;прострация;29900;77500
апаш;апаш;2990;18800
апаш;мазурик;2990;44400
апашки;блатной;230;322000
апел;воззвание;78200;448000
апел;обращение;78200;2990000
апел;призыв;78200;2210000
апелативен;апелляционный;49400;1480000
апелационен;апелляционный;287;1480000
апелация;апелляция;556;1900000
апелирам;апеллировать;39800;232000
апелиране;апелляция;157;1900000
апендикс;аппендикс;9530;162000
апендисит;аппендицит;783;340000
Апенини;Апеннины;436;114000
аперцепция;апперцепция;302;53900
апетит;аппетит;73100;2660000
апетит;смачно;73100;519000
апетитен;аппетитный;10900;173000
апетитно;лакомо;11700;652
апликация;аппликация;34900;782000
апликиран;накладной;480;1430000
аплодирам;аплодировать;1670;152000
аплодирам;ладоши;1670;635000
аплодирам;рукоплескать;1670;33600
аплодисменти;аплодисменты;47500;1820000
апломб;апломб;1990;161000
апогей;апогей;14100;679000
апогей;зенит;14100;2230000
апокалипсис;апокалипсис;35500;1780000
апокриф;апокриф;1590;340000
апокрифен;апокрифический;946;11500
аполитичен;аполитичный;976;32200
аполитичност;аполитичность;310;75200
апологет;апологет;1480;537000
апология;апология;952;511000
апоплексия;апоплексия;349;45000
апоплектичен;апоплексический;372;47200
апостериорен;апостериорный;79;15500
апостериори;апостериори;112;21200
апостол;апостол;173000;2400000
апостолски;апостольский;870;247000
апостроф;апостроф;547;94200
апотеоз;апофеоз;11100;595000
април;апрель;2530000;7220000
априлски;апрельский;801;388000
априорен;априорный;246;93800
априори;априори;18500;751000
априорно;априорно;523;164000
апробация;апробация;794;957000
аптека;аптека;159000;2290000
аптекар;аптекарь;643;346000
аптекар;провизор;643;516000
аптекарски;аптекарский;1040;178000
аптечен;аптечный;13500;1040000
аптечка;аптечка;11400;1550000
ар;ар;91600;3210000
арабеска;арабеск;471;73000
арабия;рубаха;239000;966000
арабски;арабский;641000;2200000
аракчеевщина;аракчеевщина;653;644
аранжирам;аранжировать;453;28000
аранжиране;аранжировка;20900;907000
арап;арап;1650;608000
арапин;арап;846;608000
арбалет;арбалет;9920;917000
арбитра;арбитраж;60;2120000
арбитражен;арбитражный;27700;3650000
арбитражен;третейский;27700;994000
арбитър;арбитр;27100;1950000
аргатин;батрак;270;152000
аргатски;батрацкий;154;566
арго;арго;37400;1900000
аргон;аргон;12200;388000
аргонавт;аргонавт;14300;72400
аргумент;аргумент;169000;2450000
аргумент;довод;169000;2430000
аргумент;обоснование;169000;2650000
аргументация;аргументация;44800;1360000
аргументирам;аргументировать;9280;322000
аргументирам;обосновать;9280;1520000
аргументирам;обосновывать;9280;270000
аргументиране;аргументирование;526;12600
аргументиране;обоснование;526;2650000
Ардени;Арденны;217;75700
аренда;аренда;44400;3100000
арендатор;арендатор;591;1390000
арендаторски;арендаторский;123;785
аренден;арендный;1030;269000
ареометър;ареометр;146;91000
арест;арест;109000;2340000
арестантски;арестантский;484;32700
арестувам;арестовать;1190;936000
арестувам;арестовывать;1190;246000
арестувам;сцапать;1190;24200
Аржентина;Аргентина;423000;2490000
аржентинец;аргентинец;845;318000
аржентински;аргентинский;24300;573000
ариергард;арьергард;394;131000
ариец;ариец;1620;332000
арийски;арийский;2050;130000
аристократ;аристократ;21100;944000
аристократ;барин;21100;883000
аристократизъм;аристократизм;657;147000
аристократичен;аристократический;11400;345000
аристократичен;аристократичный;11400;24500
аристократически;аристократический;468;345000
аристократичност;аристократичность;874;16500
аристократка;барыня;1920;278000
аристокрация;аристократия;20800;788000
аритметика;арифметика;17500;2020000
аритметичен;арифметический;645;255000
аритметически;арифметический;540;255000
аритмичен;аритмичный;66;651
аритмия;аритмия;9170;508000
ария;ария;17700;2020000
арка;арка;34200;2160000
Арктика;Арктика;71400;2680000
арктически;арктический;683;1590000
арлекин;арлекин;513;248000
армаган;гостинец;1480;124000
армада;армада;787;715000
арматура;арматура;87400;3300000
арматурен;арматурный;522;172000
арматурист;арматурщик;660;41200
армейски;армейский;41300;1430000
арменец;армянин;13000;2090000
Армения;Армения;361000;2460000
арменка;армянка;913;113000
арменски;армянский;385000;2200000
армирам;армировать;93;14000
армия;армия;994000;2910000
аромат;аромат;177000;2550000
аромат;благовоние;177000;371000
аромат;благоухание;177000;284000
аромат;букет;177000;2190000
ароматен;ароматный;17800;747000
ароматен;благовонный;17800;25200
ароматен;душистый;17800;434000
ароматен;пряный;17800;342000
ароматичен;ароматический;963;107000
ароматичен;ароматичный;963;1500
арсен;мышьяк;25500;586000
арсенал;арсенал;222000;2950000
арсеналски;арсенальный;59800;624
арсеник;мышьяк;1960;586000
арсенов;мышьяковый;1360;754
артел;артель;533;772000
артелей;артельный;69400;24900
артериален;артериальный;726;39500
артериосклероза;артериосклероз;577;21600
артерия;артерия;35200;1290000
артикул;артикль;208000;231000
артикулационен;артикуляционный;120;40200
артикулация;артикуляция;1270;246000
артикулирам;артикулировать;212;31800
артилерийски;артиллерийский;25500;1230000
артилерист;артиллерист;9110;390000
артилерист;батареец;9110;650
артилерист;канонир;9110;48500
артилерист;пушкарь;9110;124000
артилерия;артиллерия;35800;2140000
артист;артист;145000;2790000
артистичен;артистический;30200;206000
артистически;артистически;74;38000
артистически;артистический;74;206000
артистично;артистически;23100;38000
артистка;артистка;11700;2020000
артрит;артрит;42700;944000
арфа;арфа;13500;511000
арфист;арфист;122;29400
архаизъм;архаизм;1020;72500
архаичен;архаический;824;189000
архаичен;архаичный;824;242000
архангел;архангел;55200;829000
археолог;археолог;28200;2240000
археологичен;археологический;1360;1060000
археологически;археологический;445000;1060000
археология;археология;768000;3010000
археоложки;археологический;899;1060000
архив;архив;2380000;15600000
архива;архив;287000;15600000
архивар;архивариус;1370;262000
архивен;архивный;21400;1950000
архиепископ;архиепископ;40800;2140000
архиерей;архиерей;802;976000
архимандрит;архимандрит;34900;947000
архипелаг;архипелаг;14300;1410000
архит;интерьер;1660;3300000
архит;проем;1660;2110000
архитект;архитектор;154000;2360000
архитект;зодчий;154000;398000
архитектоника;архитектоника;877;154000
архитектски;архитекторский;92;1870
