BG Word;RU word;BG Google Count;RU Google Count
аптека;аптека;135000;1530000
аптечка;аптечка;827;992000
аренда;аренда;47700;2620000
арка;арка;30600;1450000
аромат;аромат;142000;1640000
асансьор;лифт;135000;1340000
асфалт;асфальт;46100;1340000
ателие;ателье;199000;1300000
ателие;мастерская;199000;1740000
атлас;атлас;94800;1330000
ахат;агат;44800;517000
баба;бабушка;617000;1650000
бабичка;бабушка;17700;1650000
бавен;медленный;83000;1450000
бавя;медлить;812;321000
багаж;багаж;99100;1350000
багажник;багажник;17700;1550000
база;база;1170000;6120000
бакалия;бакалея;5780;406000
бакалски;бакалейный;1940;23900
бакалски;гастрономический;1940;290000
бакла;боб;570;1700000
бал;балл;245000;2000000
баланс;баланс;468000;1710000
балкон;балкон;71900;1460000
балнеология;бальнеология;102000;155000
балон;баллон;89700;1350000
балсам;бальзам;29200;1170000
банан;банан;39200;1420000
бандерол;бандероль;9990;943000
банка;банк;1060000;4310000
банкет;обочина;14800;658000
баня;ванна;1190000;1710000
баня;ванная;1190000;1720000
барабан;барабан;28000;1820000
барета;берет;658;1700000
бариера;шлагбаум;60100;853000
басейн;бассейн;301000;2190000
баща;отец;666000;3370000
бебе;младенец;548000;1640000
бегло;мельком;26200;688000
бегом;бегом;15100;1260000
без;без;1750000;8090000
безвкусен;невкусный;4450;69800
безгрижен;беззаботный;10400;229000
безмитен;беспошлинный;17500;168000
безпаричие;безденежье;522;170000
безплатен;бесплатный;1100000;2450000
безплатно;бесплатно;1160000;2940000
безпогрешно;безошибочно;24200;879000
безпокоя;беспокоить;11400;1180000
безрадостен;безрадостный;648;55200
безсолен;пресный;362;240000
безспорно;несомненно;239000;1640000
безстрашен;бесстрашный;946;484000
безсъние;бессоница;42900;271000
безсъница;бессоница;1440;271000
белег;знак;97600;2410000
белег;рубец;97600;600000
бележка;заметка;412000;1660000
бележка;записка;412000;1480000
бележка;примечание;412000;1770000
бележник;блокнот;541000;1620000
белина;белизна;858;695000
белодробен;легочный;12500;161000
белота;белизна;14300;695000
белтък;белок;27600;1410000
бельо;белье;365000;1830000
бензин;бензин;161000;1600000
бензиностанция;бензоколонка;67400;265000
беседа;разговор;1090000;2050000
беседвам;разговаривать;558;1410000
бесен;бешеный;58400;1160000
бетонен;бетонный;833;620000
бивам;быть;22700;6940000
бивам;находить;22700;1340000
бивш;бывший;450000;1860000
бидон;бидон;636;163000
бизнес;бизнес;2900000;6530000
бизнесмен;бизнесмен;124000;1790000
билет;билет;223000;2830000
бира;пиво;381000;2180000
бирария;пивная;24200;1650000
бисквита;бисквит;21200;341000
бисквита;печенье;21200;1370000
бит;битый;199000;660000
бит;быт;199000;1930000
битка;битва;332000;1540000
битка;сражение;332000;1370000
бифтек;бифштекс;10100;307000
благодарение;благодаря;713000;3420000
благодаря;спасибо;1090000;2340000
бланка;бланк;57500;1650000
блатен;болотный;539;371000
блатист;болотистый;444;63700
блато;болото;43100;1410000
бледен;бледный;624;1070000
близо;рядом;1250000;2020000
близък;близкий;230000;1810000
блондин;блондин;46500;567000
блондинка;блондинка;64900;1590000
блъскам;толкать;13800;453000
блъф;блеф;650;498000
боб;боб;162000;1700000
боб;бобы;162000;869000
бог;бог;569000;2360000
богат;богатый;652000;2110000
боклук;мусор;284000;1560000
боле;болеть;28700;1380000
боледувам;болеть;516;1380000
болен;больной;164000;1730000
болест;болезнь;297000;2680000
болница;больница;488000;2160000
болногледачка;сиделка;1130;505000
болт;болт;13000;1250000
бомбе;котелок;637;509000
бонбон;конфета;18100;1160000
бор;сосна;80500;1360000
борд;борт;111000;1750000
борса;биржа;1310000;1870000
борсук;барсук;4010;289000
ботуш;сапог;18100;1430000
боя;краска;181000;1980000
боядисам;окрасить;9340;97600
боядисвам;красить;520;514000
брава;замок;61100;2280000
брада;борода;51700;1450000
брат;брат;360000;2540000
брашно;мука;120000;1360000
бреза;береза;22800;1280000
брой;штука;1540000;1680000
бронхит;бронхит;20900;668000
броя;считать;1250000;1900000
бръсна;брить;5860;188000
бръснар;парикмахер;17900;1220000
бръснарница;парикмахерская;1920;1270000
бръснач;бритва;15400;1400000
брюнет;брюнет;5690;322000
бряг;берег;1040000;2480000
бряст;вяз;9930;240000
будилник;будильник;173000;1370000
будка;киоск;802;1660000
будя;будить;11500;679000
буква;буква;268000;2310000
буквален;буквальный;17000;290000
букет;букет;83500;1410000
булгур;крупа;773;1290000
булевард;бульвар;94200;1510000
булка;невеста;74200;1600000
бульон;бульон;33500;920000
буркан;банка;33900;3560000
буря;буря;179000;1290000
буря;гроза;179000;1740000
бут;окорок;20500;290000
бутилка;бутылка;144000;1770000
бъбрек;почка;19500;1350000
бъдещ;будущий;150000;2090000
бъдеще;будущее;886000;3730000
българин;болгарин;383000;175000
българия;болгария;4910000;2290000
български;болгарский;2000000;1270000
бълха;блоха;542;865000
бърз;быстрый;769000;3120000
бърз;скорый;769000;926000
бърз;спешный;769000;22100
бърз;срочный;769000;1510000
бързам;спешить;38600;1080000
бързо;второпях;1240000;205000
бързовар;кипятильник;1360;120000
бърсалка;тряпка;643;1330000
бъчва;бочка;12600;1860000
бюджет;бюджет;710000;2690000
бюджетен;бюджетный;41200;1460000
бюлетин;бюллетень;1350000;1630000
бюлетина;бюллетень;210000;1630000
бюро;бюро;509000;1740000
бягам;бегать;41500;1580000
бягане;бег;59100;1590000
бял;белый;611000;2770000
бяс;бешенство;35700;1200000
в;в;5370000;15200000
в;на;5370000;16200000
вагон;вагон;31400;1430000
вада;канава;35500;859000
важен;важный;536000;2170000
ваканция;каникулы;354000;1620000
ваксина;вакцина;40900;1220000
ваксинация;вакцинация;76800;1220000
ваксиниране;вакцинация;532;1220000
вали;идти;154000;1930000
валидност;действительность;251000;1700000
валидност;достоверность;251000;1550000
валута;валюта;859000;3030000
вана;ванна;166000;1710000
вана;ванная;166000;1720000
вариант;вариант;1010000;2850000
вариант;разновидность;1010000;1430000
варя;варить;750;961000
варя;кипятить;750;296000
ваш;ваш;460000;10700000
ваш;ваша;460000;10900000
ваш;ваше;460000;3820000
ваш;ваши;460000;9090000
ваш;наш;460000;11000000
ваша;ваш;288000;10700000
ваша;ваша;288000;10900000
ваша;ваше;288000;3820000
ваша;ваши;288000;9090000
ваше;ваш;464000;10700000
ваше;ваша;464000;10900000
ваше;ваше;464000;3820000
ваше;ваши;464000;9090000
ваши;ваш;593000;10700000
ваши;ваша;593000;10900000
ваши;ваше;593000;3820000
ваши;ваши;593000;9090000
вдигам;поднимать;29500;1610000
вдругиден;послезавтра;12500;1200000
вдъхновение;вдохновение;142000;1400000
вдясно;вправо;140000;1670000
вдясно;направо;140000;1580000
веднага;немедленно;1080000;1590000
веднага;сейчас;1080000;4040000
веднага;скоро;1080000;2640000
веднага;сразу;1080000;2360000
веднага;тотчас;1080000;1270000
веднъж;однажды;1020000;1990000
ведро;бадья;25700;207000
ведро;ведро;25700;1760000
вежда;бровь;12500;1270000
вежлив;вежливый;656;859000
вежливост;вежливость;657;1180000
везни;весы;329000;1870000
век;век;1180000;3990000
величина;величина;93800;1860000
вентилация;вентиляция;170000;1540000
верен;точный;233000;1610000
верига;цепь;292000;1630000
вероятно;вероятно;1110000;2010000
вероятно;наверно;1110000;1590000
версия;версия;1510000;8370000
вертикален;вертикальный;91900;1640000
вертолет;вертолет;973;1370000
весел;веселый;113000;1460000
весел;шутливый;113000;174000
веселя;веселить;561;126000
вестибюл;вестибюль;714;670000
вестник;газета;1380000;4590000
ветровит;ветренный;727;23600
вехна;вянуть;632;30600
вец;гидроэлектростанция;41500;521000
вец;гэс;41500;1410000
вече;больше;1580000;2790000
вече;уже;1580000;8200000
вечер;вечер;946000;3030000
вечер;вечером;946000;2160000
вечерен;вечерний;34400;1280000
вечеря;ужин;308000;1530000
вечерям;ужинать;693;388000
вещ;вещь;76200;2490000
взаимен;взаимный;41500;1320000
взаимен;обоюдный;41500;67300
взаимноизгоден;взаимовыгодный;263;78700
взаимодействие;взаимодействие;255000;2420000
взаимоотношение;взаимоотношение;14000;417000
взема;достать;731000;1450000
вземам;брать;57300;1670000
вземам;взять;57300;2490000
вземам;доставать;57300;839000
вземам;забирать;57300;1020000
взимам;забирать;92200;1020000
взлом;взлом;119000;1360000
взрив;взрыв;126000;3220000
взятка;взятка;1390;1360000
ви;ваш;2530000;10700000
ви;ваша;2530000;10900000
ви;ваше;2530000;3820000
ви;ваши;2530000;9090000
вид;вид;1250000;8570000
видя;увидеть;706000;2550000
вие;вы;1270000;11400000
виждам;видеть;812000;2290000
виза;виза;131000;2420000
визита;визит;334000;1790000
вик;крик;490000;1590000
вик;призыв;490000;1480000
викам;звать;143000;1300000
викам;окликать;143000;25100
викна;крикнуть;30800;1120000
вилица;вилка;22500;1380000
вина;вина;349000;2090000
винаги;всегда;1400000;2590000
вино;вино;555000;2410000
виновен;виноватый;193000;553000
винт;винт;17500;1450000
виола;альт;55900;1220000
виолетов;фиолетовый;34100;1330000
висок;высокий;847000;3050000
висок;громкий;847000;1590000
високо;громко;1330000;1450000
висота;высота;34400;2190000
височина;высота;869000;2190000
висш;высший;146000;1810000
вися;висеть;10700;660000
витрина;витрина;58000;1540000
виц;анекдот;248000;2020000
вишна;вишня;30300;1680000
вишнен;вишневый;42;1090000
вкиснал;кислый;95;626000
включа;включить;181000;2000000
включвам;включать;38300;1450000
включително;включая;1190000;2350000
включително;включительно;1190000;1610000
вкус;вкус;408000;2570000
вкусен;вкусный;22900;1010000
влагам;вкладывать;12000;1450000
владея;владеть;15600;1300000
влажен;влажный;19700;1100000
влажен;сырой;19700;1450000
влак;поезд;181000;2040000
влизам;входить;280000;1480000
влизам;въезжать;280000;255000
влизане;вход;1200000;3120000
влизане;въезд;1200000;1340000
влияние;влияние;522000;2730000
влияя;влиять;557;1410000
влог;вклад;30200;1890000
влошаване;ухудшение;63500;1330000
вляво;влево;138000;1650000
вляво;налево;138000;1640000
вляза;войти;97100;3430000
вляза;въехать;97100;439000
вмествам;вставлять;1080;1270000
вместимост;емкость;35600;1920000
вместо;взамен;995000;1400000
вместо;вместо;995000;2820000
вместя;вставить;8020;1470000
внасям;ввозить;9690;559000
внасям;вносить;9690;1300000
внасям;заносить;9690;360000
внасям;импортировать;9690;886000
внасяне;вклад;128000;1890000
внезапно;вдруг;221000;2130000
внеса;ввезти;17100;661000
внеса;внести;17100;1810000
внеса;занести;17100;1250000
внос;ввоз;774000;1180000
внос;взнос;774000;1570000
внос;импорт;774000;1380000
вносен;импортный;17700;624000
вноска;взнос;197000;1570000
внук;внук;43100;1370000
внучка;внучка;14400;1170000
вода;вода;1400000;3620000
водач;гид;242000;1730000
водач;проводник;242000;1540000
воден;водяной;254000;1380000
водолечение;водолечение;2010;172000
водолечение;гидротерапия;2010;113000
водопровод;водопровод;68400;1190000
водя;вести;70200;2760000
водя;водить;70200;1280000
вожд;вождь;31700;1410000
возя;везти;9670;950000
возя;возить;9670;823000
возя;ездить;9670;1440000
возя;ехать;9670;1620000
войник;боец;115000;1420000
волтаж;напряжение;9680;1960000
воювам;воевать;3260;1320000
вписвам;заносить;537;360000
впиша;занести;664;1250000
врабец;воробей;6800;1150000
врабче;воробей;13000;1150000
врана;ворона;27800;1400000
врат;шея;49000;1700000
врата;дверь;472000;2050000
вратар;швейцар;81900;341000
вратичка;калитка;22500;1070000
вратовръзка;галстук;32300;1690000
вреда;убыток;133000;1330000
вреда;ущерб;133000;1610000
вреден;вредный;38000;938000
време;время;3660000;10200000
време;погода;3660000;3020000
време;пора;3660000;3530000
временен;временный;86500;1530000
врене;кипение;1990;210000
връзка;галстук;1630000;1690000
връзка;завязка;1630000;886000
връзка;связка;1630000;1710000
връзка;связь;1630000;10600000
връзка;шнурок;1630000;1220000
връх;верх;457000;1460000
връх;вершина;457000;1750000
връщам;возвращать;155000;1200000
връщам;отдавать;155000;1390000
вря;кипеть;1480;142000
все;всё;1530000;14500000
всеки;всякий;1760000;2270000
всеки;каждый;1760000;3680000
всеки;любой;1760000;8140000
всекидневно;ежедневно;84400;1810000
всемирен;всемирный;2490;1620000
всемирен;мировой;2490;3560000
всичко;всего;1500000;7310000
всичко;итого;1500000;1360000
вследствие;вследствие;274000;1590000
всмукване;абсорбция;575;407000
встрани;вбок;104000;425000
всякога;всегда;131000;2590000
втори;второй;1100000;4850000
вторично;вторично;46600;1190000
вторник;вторник;1150000;2400000
второ;во-вторых;989000;1920000
второ;второе;989000;4930000
второкачествен;второсортный;198;31900
второстепенен;второстепенный;20600;424000
вуйчо;дядя;27000;1510000
вход;вход;1940000;3120000
вход;подъезд;1940000;1500000
вчера;вчера;1530000;3310000
вчерашен;вчерашний;549;1410000
въведение;введение;313000;1840000
въведение;вступление;313000;1650000
въвеждам;заводить;956;1150000
въвеждам;устанавливать;956;1590000
въглехидрат;углевод;3930;177000
въже;веревка;80400;1500000
възбуда;азарт;39900;1270000
възвишение;возвышение;15200;804000
възвишение;возвышенность;15200;808000
възвръщам;возвращать;1310;1200000
възвърна;возвратить;16900;1190000
възглавница;подушка;44700;1500000
възглед;взгляд;35800;3240000
възглед;мнение;35800;4620000
въздействам;воздействовать;1580;1210000
въздействам;действовать;1580;1570000
въздух;воздух;420000;2860000
възможно;возможно;1250000;2250000
възможност;возможность;1270000;6840000
възнамерявам;намеревать;20500;1160
възпаление;воспаление;54000;1340000
възпитание;воспитание;387000;2150000
възползвам;воспользовать;42900;18700
възразя;возразить;6110;1020000
възразявам;возражать;10400;852000
възраст;возраст;1100000;3300000
възрастен;взрослый;140000;1520000
възрастен;пожилой;140000;1410000
вълна;волна;304000;2270000
вълна;шерсть;304000;1410000
вълнен;шерстяной;10900;359000
вън;за;169000;13200000
вън;прочь;169000;1390000
външен;внешний;695000;2790000
въображение;воображение;122000;1600000
въобще;вообще;749000;2580000
въпреки;невзирая;1230000;1080000
въпреки;несмотря;1230000;2530000
въпрос;вопрос;1220000;9590000
въпрос;проблема;1220000;6010000
вървя;идти;89400;1930000
вържа;связать;15800;1560000
върна;возвратить;607000;1190000
върху;на;1440000;16200000
върху;над;1440000;4360000
върша;делать;52600;2400000
вътре;внутри;559000;2020000
вътре;внутрь;559000;1480000
вътрешен;внутренний;484000;2570000
вярвам;верить;477000;1590000
вярно;верно;599000;1670000
вятър;ветер;471000;2500000
габарит;габарит;504;242000
гадене;тошнота;32100;1230000
газ;газ;487000;2520000
газ;керосин;487000;770000
газов;газовый;55000;1260000
гайка;гайка;767;1150000
галантериен;галантерейный;109;13200
гален;балованный;17900;13400
гара;вокзал;299000;1740000
гараж;гараж;273000;1690000
гарантирам;гарантировать;44300;1310000
гаранция;гарантия;943000;2960000
гаранция;залог;943000;1530000
гарван;ворон;27800;1350000
гарга;ворона;21000;1400000
гастроном;гастроном;728;569000
гася;гасить;40000;370000
гащета;трусы;747;1560000
гвоздей;гвоздь;10900;1950000
геврек;бублик;555;349000
геврече;баранка;1980;392000
генератор;генератор;78700;1630000
гений;гений;80700;1460000
германски;германский;154000;1320000
гибел;гибель;42100;1820000
гид;гид;171000;1730000
гише;окошко;63000;1800000
глава;глава;1240000;6780000
главен;главный;828000;4340000
гладък;гладкий;22100;873000
гладък;ровный;22100;1440000
гладя;гладить;16800;597000
глас;голос;961000;2050000
гледам;видеть;618000;2290000
гледам;глядеть;618000;691000
гледам;смотреть;618000;2180000
глезен;балованный;11900;13400
глина;глина;57300;1350000
глинен;глиняный;926;322000
глинест;глинистый;906;109000
глоба;штраф;192000;1650000
глобя;оштрафовать;625;273000
глобявам;штрафовать;781;795000
глупав;глупый;79400;1310000
глупост;глупость;136000;1400000
глух;глухой;29600;1300000
глътка;глоток;67300;1210000
гнил;гнилой;3500;419000
говор;речь;46000;3930000
говоря;говорить;396000;2070000
годен;годен;28600;307000
годеница;невеста;17600;1600000
година;год;1900000;13200000
годишен;годовой;867000;1530000
годност;годность;87900;64300
големина;величина;485000;1860000
голям;большой;1240000;4570000
голям;взрослый;1240000;1520000
гора;лес;777000;2430000
горе;вверх;1270000;2540000
горе;вверху;1270000;1410000
горе;наверх;1270000;1830000
горе;наверху;1270000;1370000
горен;верхний;74400;1500000
горещ;горячий;198000;1730000
горещ;жаркий;198000;1480000
горещ;жгучий;198000;487000
горещина;жара;11300;1560000
горещо;жарко;363000;1350000
гориво;горючее;323000;1210000
гориво;топливо;323000;1680000
горист;лесистый;1820;98400
горчив;горький;41100;1650000
горя;гореть;42800;795000
господин;господин;529000;1560000
госпожа;госпожа;144000;1600000
гост;гость;1280000;2510000
гостенка;гостья;14500;639000
гостна;гостиная;11500;1510000
готвач;повар;123000;1480000
готвя;готовить;56700;1420000
гощавам;угощать;237;257000
град;город;1270000;6620000
градина;огород;853000;1360000
градина;сад;853000;2010000
градинка;сквер;36900;1300000
градски;городской;655000;2190000
градус;градус;33200;1330000
гражданин;горожанин;404000;916000
гражданин;гражданин;404000;2420000
гражданка;гражданка;13600;1160000
гражданство;гражданство;346000;1450000
грам;грамм;55700;1370000
граница;граница;590000;2770000
граничар;пограничник;653;962000
граничен;пограничный;67200;1330000
грапавост;шероховатость;992;353000
графа;графа;118000;1390000
грах;горох;43000;1030000
грахов;гороховый;87;180000
греша;ошибать;78300;1520
грешка;ошибка;682000;3570000
грея;греть;9180;323000
грижа;заботить;838000;47500
грижа;смотреть;838000;2180000
грижа;ухаживать;838000;1270000
грижи;хлопоты;852000;1650000
гробница;гробница;59500;955000
грозде;виноград;124000;1510000
гроздов;виноградный;31300;367000
грозотия;безобразие;16600;1200000
груб;грубый;171000;1380000
група;группа;1240000;4510000
гръб;спина;213000;1910000
гръбнак;позвоночник;19300;1750000
гръмко;громко;15800;1450000
гръмък;громкий;670;1590000
губя;терять;79300;1430000
гулия;репа;3720;1020000
гума;баллон;142000;1350000
гума;резина;142000;1340000
гума;шина;142000;1820000
гумен;резиновый;9290;888000
гъба;гриб;29100;1360000
гъвкав;гибкий;52500;1420000
гъвкавост;гибкость;102000;1320000
гърбом;задом;1960;1050000
гърло;горло;107000;1360000
гъска;гусь;17000;1610000
гъсок;гусь;762;1610000
гъст;густой;17900;1340000
гъши;гусиный;879;184000
гюм;бидон;2690;163000
да;да;2820000;2280000
да;пусть;2820000;2260000
дава;идти;1270000;1930000
давам;выдавать;356000;1360000
давам;давать;356000;2090000
давам;сдавать;356000;1430000
даден;данный;585000;4490000
даже;даже;932000;3350000
далак;селезенка;506;388000
далече;далее;195000;2820000
далече;далеко;195000;2590000
далечен;далекий;69300;1600000
дам;выдать;458000;1600000
дам;дать;458000;2040000
дам;сдать;458000;1440000
дама;дама;166000;1870000
дамски;дамский;224000;1360000
данни;данные;1500000;10300000
дано;авось;719000;1240000
данък;налог;349000;2730000
данъкоплатец;налогоплательщик;20500;1280000
дата;дата;2420000;5040000
дваж;дважды;16500;1550000
двама;вдвоем;1090000;1400000
двама;двое;1090000;2210000
двамата;оба;938000;2490000
двамина;вдвоем;821;1400000
двата;оба;1160000;2490000
двете;обе;1200000;2080000
двигател;двигатель;309000;2070000
движа;двигать;21400;816000
движение;движение;1060000;3570000
двоен;двойной;147000;1620000
двоен;двоякий;147000;157000
двоеточие;двоеточие;1290;189000
двойка;двойка;270000;1070000
двойка;пара;270000;2630000
двор;двор;327000;2130000
двояк;двоякий;748;157000
двуместен;двухместный;686;802000
двустаен;двухкомнатный;169000;198000
двустранен;двусторонный;50600;397
дебел;толстый;70700;1420000
дебелина;полнота;132000;1440000
дебелина;толщина;132000;1760000
дебит;дебет;41700;490000
девойка;девушка;106000;2860000
дежурен;дежурный;43400;1390000
действам;воздействовать;20100;1210000
действам;действовать;20100;1570000
действие;действие;943000;5040000
действителен;действительный;40900;1360000
декларация;декларация;734000;1670000
декоративен;декоративный;22000;1160000
деление;деление;74700;1390000
деликатен;щекотливый;28100;67100
делник;будни;18600;1270000
дело;дело;1250000;7010000
делови;деловой;208000;1670000
деля;делить;19000;1390000
ден;день;1810000;10700000
денем;днем;46500;1840000
денонощие;сутки;203000;2300000
депозит;депозит;128000;1200000
десен;правый;145000;1550000
десетица;десяток;684;2410000
дестилиран;дистилированный;496;890
детайл;деталь;74300;2150000
детайлен;детальный;58100;1320000
дете;малыш;1060000;1870000
дете;ребенок;1060000;2590000
детски;детский;1420000;2680000
дефект;дефект;55500;1330000
деца;дети;1920000;3120000
джамия;мечеть;55800;1360000
джанка;алыча;604;93700
джин;джин;39300;1350000
джинси;джинсы;30600;1820000
джоб;карман;84500;1700000
джобен;карманный;102000;1350000
диагноза;диагноз;113000;1340000
диагонал;диагональ;38000;1620000
диамант;алмаз;123000;1410000
диаметър;диаметр;137000;1810000
диария;понос;22400;748000
диван;диван;49700;1730000
дивидент;дивиденд;76300;233000
диета;диета;204000;1660000
диетичен;диетический;9910;321000
дизел;дизель;123000;1440000
дим;дым;139000;1470000
диня;арбуз;21500;994000
диплом;диплом;37900;1890000
диплома;диплом;129000;1890000
директор;директор;1030000;3890000
дирекция;дирекция;660000;1410000
дирене;поиск;353000;13900000
диря;отыскивать;320000;317000
диск;диск;1190000;3630000
дискусия;дискуссия;935000;2230000
дискутирам;спорить;550;1440000
диспечер;диспетчер;662;1220000
дишам;дышать;34600;1380000
длъжен;должен;245000;2230000
длъжност;должность;366000;2580000
дневен;дневной;575000;1410000
днес;сегодня;3000000;7120000
днешен;сегодняшний;94900;2340000
до;до;2030000;10800000
до;за;2030000;13200000
до;около;2030000;6210000
до;у;2030000;10800000
добавъчен;дополнительный;11800;2060000
добавя;добавить;379000;5650000
добавям;добавлять;37100;1610000
добавям;прибавлять;37100;280000
доблест;доблесть;15200;656000
доближа;подойти;708;1430000
добре;ладно;1410000;1750000
добре;хорошо;1410000;2460000
добър;хороший;1220000;2480000
довереност;доверенность;89;1360000
доверие;доверие;402000;2070000
доверя;доверить;13600;921000
доверявам;доверять;12700;1390000
доволен;довольный;342000;1100000
договарям;договаривать;572;34700
договор;договор;1290000;3100000
договор;соглашение;1290000;2460000
договоря;договорить;1700;275000
догонвам;догонять;1030;471000
догоня;догнать;13100;1230000
дойда;подойти;120000;1430000
дойда;прийти;120000;1580000
докарам;довезти;15000;145000
докато;пока;1260000;3960000
доколко;насколько;270000;2090000
доколкото;поскольку;655000;3610000
докосвам;трогать;26900;1320000
доктор;доктор;565000;1950000
документ;документ;808000;6270000
долар;доллар;78800;2330000
долен;нижний;139000;2600000
долина;долина;119000;1720000
долу;вниз;932000;1800000
долу;внизу;932000;1610000
дом;дом;1480000;6820000
домакин;хозяин;261000;1920000
домакинство;хозяйство;296000;3480000
домакиня;хозяйка;43300;1380000
домат;помидор;38700;1580000
домат;томат;38700;394000
доматен;томатный;23800;511000
домашен;домашний;332000;2710000
доплатя;доплатить;4200;256000
доплащам;доплачивать;4340;278000
доплащане;доплата;72700;1180000
допълнителен;дополнительный;605000;2060000
дори;даже;1240000;3350000
дори;и;1240000;14100000
досадно;досадно;39600;395000
досаждам;надоедать;9540;313000
досетя;угадать;633;1160000
досещам;догадаться;9280;1340000
досещам;догадывать;9280;2290
доставка;доставка;1210000;3550000
доставя;доставить;226000;1380000
доставям;доставлять;8500;1040000
достатъчно;достаточно;1200000;3510000
достигам;доезжать;541;20000
достигам;достигать;541;1370000
достигна;доехать;167000;1180000
достигна;дойти;167000;1420000
достигна;достичь;167000;1620000
достоверен;достоверный;21400;729000
достоен;достойный;159000;1500000
достъп;вход;1280000;3120000
достъп;доступ;1280000;3760000
достъпен;доступный;344000;1360000
дотягам;надоедать;415;313000
доход;доход;240000;2520000
доходност;доходность;106000;1240000
доцент;доцент;99400;1300000
дребен;маленький;105000;2160000
дребен;мелкий;105000;1450000
дреболия;мелочь;12700;1770000
дреболия;незначительность;12700;132000
древен;древний;427000;1630000
дреха;одежда;75500;2140000
дроб;легкое;216000;1710000
дроб;печень;216000;1350000
дробче;печёнка;754;298000
друг;другой;1360000;5770000
другар;друг;50400;3650000
другояче;иначе;40100;2170000
дружелюбен;дружелюбный;17900;575000
дръжка;ручка;72800;2030000
дузина;дюжина;42700;1220000
дума;слово;1440000;5660000
дупка;дыра;322000;1480000
дупчица;ячейка;883;1350000
духовит;остроумный;503;478000
душ;душ;171000;2990000
душен;душный;2880;461000
душно;душно;850;583000
дъб;дуб;69800;1460000
дъбов;дубовый;17500;587000
дъга;арка;177000;1450000
дъжд;дождь;384000;2210000
дълбок;глубокий;133000;1600000
дълбочина;глубина;231000;1930000
дълг;долг;263000;2210000
дълго;долго;999000;2310000
дългосрочен;долгосрочный;118000;1260000
дължимо;должное;13300;1420000
дължина;длина;655000;2220000
дължина;продолжительность;655000;1950000
дълъг;длинный;420000;1470000
дълъг;долгий;420000;1510000
дънкин;джинсы;560;1820000
дъно;дно;174000;1880000
дървен;деревянный;139000;1280000
дърво;дерево;627000;2640000
държа;держать;193000;1820000
държава;государство;1190000;4100000
държавен;государственный;943000;3480000
дъска;доска;76200;2430000
дъщеря;дочь;330000;2470000
дюля;айва;854;216000
дюшек;матрас;10400;1620000
дюшек;матрац;10400;1350000
дядка;дедушка;873;1320000
дядо;дедушка;445000;1320000
дял;доля;1010000;1880000
евакуация;эвакуация;16500;1330000
еволюция;эволюция;98100;1980000
евтин;дешевый;145000;1450000
евтино;дешево;184000;1360000
евтино;недорого;184000;1610000
едва;едва;1220000;1710000
едва;лишь;1220000;2300000
едва;только;1220000;9660000
едва-едва;кое-как;18900;1230000
единен;единый;196000;1790000
единица;единица;215000;2090000
единичен;единичный;45600;765000
